text,value
bl,0
m03,3
m06,6
m12,12
m18,18
m24,24
m30,30
m36,36
m42,42
m48,48
m54,54
m60,60
m66,66
m72,72
m78,78
m84,84
m90,90
m96,96
m102,102
m108,108
m114,114
m120,120
CN,1
SMC,2
EMCI,3
LMCI,4
AD,5
NL,1
MCI,2
Dementia,3
NL to MCI,4
MCI to Dementia,5
NL to Dementia,6
MCI to NL,7
Dementia to MCI,8
Dementia to NL,9
Female,1
Male,0
Pass,1
Fail,0
Not Hisp/Latino,0
Hisp/Latino,1
Unknown,2
White,0
More than one,1
Black,3
Asian,4
Am Indian/Alaskan,5
Hawaiian/Other PI,6
Married,0
Widowed,2
Divorced,3
Never married,1
<8,4
<80,40
<200,100
